,Unnamed: 0,Country,Region,Year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom (Life Choices),Generosity,Perceptions of Corruption,Happiness Category
234,79,Malaysia,Southeast Asia,2019,80,5.339,1.221,1.171,0.828,0.508,0.26,0.024,Average Happiness
235,80,Belarus,Commonwealth of Independent States,2019,81,5.323,1.067,1.465,0.789,0.235,0.094,0.142,Average Happiness
236,81,Greece,Western Europe,2019,82,5.287,1.181,1.156,0.999,0.067,0.0,0.034,Average Happiness
237,82,Mongolia,East Asia,2019,83,5.285,0.948,1.531,0.667,0.317,0.235,0.038,Average Happiness
238,83,North Macedonia,Central and Eastern Europe,2019,84,5.274,0.983,1.294,0.838,0.345,0.185,0.034,Average Happiness
239,84,Nigeria,Sub-Saharan Africa,2019,85,5.265,0.696,1.111,0.245,0.426,0.215,0.041,Average Happiness
240,85,Kyrgyzstan,Commonwealth of Independent States,2019,86,5.261,0.551,1.438,0.723,0.508,0.3,0.023,Average Happiness
241,86,Turkmenistan,Commonwealth of Independent States,2019,87,5.247,1.052,1.538,0.657,0.394,0.244,0.028,Average Happiness
242,87,Algeria,Middle East and North Africa,2019,88,5.211,1.002,1.16,0.785,0.086,0.073,0.114,Average Happiness
243,88,Morocco,Middle East and North Africa,2019,89,5.208,0.801,0.782,0.782,0.418,0.036,0.076,Average Happiness
244,89,Azerbaijan,Commonwealth of Independent States,2019,90,5.208,1.043,1.147,0.769,0.351,0.035,0.182,Average Happiness
245,90,Lebanon,Middle East and North Africa,2019,91,5.197,0.987,1.224,0.815,0.216,0.166,0.027,Average Happiness
246,91,Indonesia,Southeast Asia,2019,92,5.192,0.931,1.203,0.66,0.491,0.498,0.028,Average Happiness
247,92,China,East Asia,2019,93,5.191,1.029,1.125,0.893,0.521,0.058,0.1,Average Happiness
248,93,Vietnam,Southeast Asia,2019,94,5.175,0.741,1.346,0.851,0.543,0.147,0.073,Average Happiness
249,94,Bhutan,South Asia,2019,95,5.082,0.813,1.321,0.604,0.457,0.37,0.167,Average Happiness
250,95,Cameroon,Sub-Saharan Africa,2019,96,5.044,0.549,0.91,0.331,0.381,0.187,0.037,Average Happiness
251,96,Bulgaria,Central and Eastern Europe,2019,97,5.011,1.092,1.513,0.815,0.311,0.081,0.004,Average Happiness
252,97,Ghana,Sub-Saharan Africa,2019,98,4.996,0.611,0.868,0.486,0.381,0.245,0.04,Average Happiness
253,98,Ivory Coast,Sub-Saharan Africa,2019,99,4.944,0.569,0.808,0.232,0.352,0.154,0.09,Average Happiness
254,99,Nepal,South Asia,2019,100,4.913,0.446,1.226,0.677,0.439,0.285,0.089,Average Happiness
255,100,Jordan,Middle East and North Africa,2019,101,4.906,0.837,1.225,0.815,0.383,0.11,0.13,Average Happiness
256,101,Benin,Sub-Saharan Africa,2019,102,4.883,0.393,0.437,0.397,0.349,0.175,0.082,Average Happiness
257,102,Republic of the Congo,Sub-Saharan Africa,2019,103,4.812,0.673,0.799,0.508,0.372,0.105,0.093,Average Happiness
258,103,Gabon,Sub-Saharan Africa,2019,104,4.799,1.057,1.183,0.571,0.295,0.043,0.055,Average Happiness
259,104,Laos,Southeast Asia,2019,105,4.796,0.764,1.03,0.551,0.547,0.266,0.164,Average Happiness
260,105,South Africa,Sub-Saharan Africa,2019,106,4.722,0.96,1.351,0.469,0.389,0.13,0.055,Average Happiness
261,106,Albania,Central and Eastern Europe,2019,107,4.719,0.947,0.848,0.874,0.383,0.178,0.027,Average Happiness
262,107,Venezuela,Latin America and Caribbean,2019,108,4.707,0.96,1.427,0.805,0.154,0.064,0.047,Average Happiness
263,108,Cambodia,Southeast Asia,2019,109,4.7,0.574,1.122,0.637,0.609,0.232,0.062,Average Happiness
264,109,State of Palestine,Middle East and North Africa,2019,110,4.696,0.657,1.247,0.672,0.225,0.103,0.066,Average Happiness
265,110,Senegal,Sub-Saharan Africa,2019,111,4.681,0.45,1.134,0.571,0.292,0.153,0.072,Average Happiness
266,111,Somalia,Sub-Saharan Africa,2019,112,4.668,0.0,0.698,0.268,0.559,0.243,0.27,Average Happiness
267,112,Namibia,Sub-Saharan Africa,2019,113,4.639,0.879,1.313,0.477,0.401,0.07,0.056,Average Happiness
268,113,Niger,Sub-Saharan Africa,2019,114,4.628,0.138,0.774,0.366,0.318,0.188,0.102,Average Happiness
269,114,Burkina Faso,Sub-Saharan Africa,2019,115,4.587,0.331,1.056,0.38,0.255,0.177,0.113,Average Happiness
270,115,Armenia,Commonwealth of Independent States,2019,116,4.559,0.85,1.055,0.815,0.283,0.095,0.064,Average Happiness
271,116,Iran,Middle East and North Africa,2019,117,4.548,1.1,0.842,0.785,0.305,0.27,0.125,Average Happiness
272,117,Guinea,Sub-Saharan Africa,2019,118,4.534,0.38,0.829,0.375,0.332,0.207,0.086,Average Happiness
273,118,Georgia,Commonwealth of Independent States,2019,119,4.519,0.886,0.666,0.752,0.346,0.043,0.164,Average Happiness
274,119,Gambia,Sub-Saharan Africa,2019,120,4.516,0.308,0.939,0.428,0.382,0.269,0.167,Average Happiness
275,120,Kenya,Sub-Saharan Africa,2019,121,4.509,0.512,0.983,0.581,0.431,0.372,0.053,Average Happiness
276,121,Mauritania,Sub-Saharan Africa,2019,122,4.49,0.57,1.167,0.489,0.066,0.106,0.088,Low Happiness
277,122,Mozambique,Sub-Saharan Africa,2019,123,4.466,0.204,0.986,0.39,0.494,0.197,0.138,Low Happiness
278,123,Tunisia,Middle East and North Africa,2019,124,4.461,0.921,1.0,0.815,0.167,0.059,0.055,Low Happiness
279,124,Bangladesh,South Asia,2019,125,4.456,0.562,0.928,0.723,0.527,0.166,0.143,Low Happiness
280,125,Iraq,Middle East and North Africa,2019,126,4.437,1.043,0.98,0.574,0.241,0.148,0.089,Low Happiness
281,126,Democratic Republic of the Congo,Sub-Saharan Africa,2019,127,4.418,0.094,1.125,0.357,0.269,0.212,0.053,Low Happiness
282,127,Mali,Sub-Saharan Africa,2019,128,4.39,0.385,1.105,0.308,0.327,0.153,0.052,Low Happiness
283,128,Sierra Leone,Sub-Saharan Africa,2019,129,4.374,0.268,0.841,0.242,0.309,0.252,0.045,Low Happiness
284,129,Sri Lanka,South Asia,2019,130,4.366,0.949,1.265,0.831,0.47,0.244,0.047,Low Happiness
285,130,Myanmar,Southeast Asia,2019,131,4.36,0.71,1.181,0.555,0.525,0.566,0.172,Low Happiness
286,131,Chad,Sub-Saharan Africa,2019,132,4.35,0.35,0.766,0.192,0.174,0.198,0.078,Low Happiness
287,132,Ukraine,Commonwealth of Independent States,2019,133,4.332,0.82,1.39,0.739,0.178,0.187,0.01,Low Happiness
288,133,Ethiopia,Sub-Saharan Africa,2019,134,4.286,0.336,1.033,0.532,0.344,0.209,0.1,Low Happiness
289,134,Swaziland,Sub-Saharan Africa,2019,135,4.212,0.811,1.149,0.0,0.313,0.074,0.135,Low Happiness
290,135,Uganda,Sub-Saharan Africa,2019,136,4.189,0.332,1.069,0.443,0.356,0.252,0.06,Low Happiness
291,136,Egypt,Middle East and North Africa,2019,137,4.166,0.913,1.039,0.644,0.241,0.076,0.067,Low Happiness
292,137,Zambia,Sub-Saharan Africa,2019,138,4.107,0.578,1.058,0.426,0.431,0.247,0.087,Low Happiness
293,138,Togo,Sub-Saharan Africa,2019,139,4.085,0.275,0.572,0.41,0.293,0.177,0.085,Low Happiness
294,139,India,South Asia,2019,140,4.015,0.755,0.765,0.588,0.498,0.2,0.085,Low Happiness
295,140,Liberia,Sub-Saharan Africa,2019,141,3.975,0.073,0.922,0.443,0.37,0.233,0.033,Low Happiness
296,141,Comoros,Sub-Saharan Africa,2019,142,3.973,0.274,0.757,0.505,0.142,0.275,0.078,Low Happiness
297,142,Madagascar,Sub-Saharan Africa,2019,143,3.933,0.274,0.916,0.555,0.148,0.169,0.041,Low Happiness
298,143,Lesotho,Sub-Saharan Africa,2019,144,3.802,0.489,1.169,0.168,0.359,0.107,0.093,Low Happiness
299,144,Burundi,Sub-Saharan Africa,2019,145,3.775,0.046,0.447,0.38,0.22,0.176,0.18,Low Happiness
300,145,Zimbabwe,Sub-Saharan Africa,2019,146,3.663,0.366,1.114,0.433,0.361,0.151,0.089,Low Happiness
301,146,Haiti,Latin America and Caribbean,2019,147,3.597,0.323,0.688,0.449,0.026,0.419,0.11,Low Happiness
302,147,Botswana,Sub-Saharan Africa,2019,148,3.488,1.041,1.145,0.538,0.455,0.025,0.1,Low Happiness
303,148,Syria,Middle East and North Africa,2019,149,3.462,0.619,0.378,0.44,0.013,0.331,0.141,Low Happiness
304,149,Malawi,Sub-Saharan Africa,2019,150,3.41,0.191,0.56,0.495,0.443,0.218,0.089,Low Happiness
305,150,Yemen,Middle East and North Africa,2019,151,3.38,0.287,1.163,0.463,0.143,0.108,0.077,Low Happiness
306,151,Rwanda,Sub-Saharan Africa,2019,152,3.334,0.359,0.711,0.614,0.555,0.217,0.411,Low Happiness
307,152,Tanzania,Sub-Saharan Africa,2019,153,3.231,0.476,0.885,0.499,0.417,0.276,0.147,Low Happiness
308,153,Afghanistan,South Asia,2019,154,3.203,0.35,0.517,0.361,0.0,0.158,0.025,Low Happiness
309,154,Central African Republic,Sub-Saharan Africa,2019,155,3.083,0.026,0.0,0.105,0.225,0.235,0.035,Low Happiness
310,155,South Sudan,Sub-Saharan Africa,2019,156,2.853,0.306,0.575,0.295,0.01,0.202,0.091,Low Happiness
311,0,Finland,Western Europe,2020,1,7.808700085,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,0.477857262,High Happiness
312,1,Denmark,Western Europe,2020,2,7.645599842,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,0.495260328,High Happiness
313,2,Switzerland,Western Europe,2020,3,7.559899807,1.39077425,1.472403407,1.040533185,0.62895447,0.269055754,0.407945901,High Happiness
314,3,Iceland,Western Europe,2020,4,7.504499912,1.326501608,1.547567487,1.000843406,0.661980748,0.362330228,0.144540772,High Happiness
315,4,Norway,Western Europe,2020,5,7.487999916,1.42420733,1.495172501,1.008071899,0.670200884,0.287985086,0.434100568,High Happiness
316,5,Netherlands,Western Europe,2020,6,7.448900223,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,0.368569762,High Happiness
317,6,Sweden,Western Europe,2020,7,7.353499889,1.322235227,1.433347702,0.986470461,0.650297701,0.272827893,0.442066371,High Happiness
318,7,New Zealand,North America and ANZ,2020,8,7.299600124,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,0.461268276,High Happiness
319,8,Austria,Western Europe,2020,9,7.294199944,1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,High Happiness
320,9,Luxembourg,Western Europe,2020,10,7.237500191,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,0.367041469,High Happiness
321,10,Canada,North America and ANZ,2020,11,7.23210001,1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,High Happiness
322,11,Australia,North America and ANZ,2020,12,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,High Happiness
323,12,United Kingdom,Western Europe,2020,13,7.164500237,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,0.322601646,High Happiness
324,13,Israel,Middle East and North Africa,2020,14,7.128600121,1.216463685,1.403256774,1.008052945,0.420699477,0.266861796,0.09989845,High Happiness
325,14,Costa Rica,Latin America and Caribbean,2020,15,7.121399879,0.981107712,1.374853611,0.939635336,0.645017743,0.131266311,0.096362092,High Happiness
326,15,Ireland,Western Europe,2020,16,7.093699932,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,0.373433262,High Happiness
327,16,Germany,Western Europe,2020,17,7.075799942,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,0.309362292,High Happiness
328,17,United States,North America and ANZ,2020,18,6.939599991,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,0.152284741,High Happiness
329,18,Czech Republic,Central and Eastern Europe,2020,19,6.910900116,1.212322354,1.40528667,0.89456445,0.505744576,0.046325929,0.049803223,High Happiness
330,19,Belgium,Western Europe,2020,20,6.863500118,1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052,High Happiness
331,20,United Arab Emirates,Middle East and North Africa,2020,21,6.790800095,1.431086421,1.251170993,0.787814438,0.652936101,0.28065598,0.220213518,High Happiness
332,21,Malta,Western Europe,2020,22,6.772799969,1.252513289,1.442956924,0.972042024,0.633239031,0.341180831,0.178864077,High Happiness
333,22,France,Western Europe,2020,23,6.663799763,1.268129349,1.458839178,1.029714227,0.514050901,0.112607703,0.227303237,High Happiness
334,23,Mexico,Latin America and Caribbean,2020,24,6.465000153,1.024387479,1.226333499,0.831601024,0.553892553,0.083094485,0.083133668,Average Happiness
335,24,Taiwan,East Asia,2020,25,6.45539999,1.327470541,1.357760668,0.878437996,0.449404389,0.150598705,0.131516352,Average Happiness
336,25,Uruguay,Latin America and Caribbean,2020,26,6.440100193,1.071000457,1.425081134,0.856928885,0.59426707,0.132143691,0.193425074,Average Happiness
337,26,Saudi Arabia,Middle East and North Africa,2020,27,6.406499863,1.334328532,1.309950113,0.759818137,0.548477471,0.087440684,0.163322315,Average Happiness
338,27,Spain,Western Europe,2020,28,6.400899887,1.230535269,1.421099186,1.051343083,0.425983816,0.16530548,0.109579779,Average Happiness
339,28,Guatemala,Latin America and Caribbean,2020,29,6.398900032,0.753815711,1.174267054,0.705952585,0.613146722,0.170611665,0.0983603,Average Happiness
340,29,Italy,Western Europe,2020,30,6.38740015,1.236396074,1.347296,1.022504926,0.321305573,0.170266211,0.040145598,Average Happiness
341,30,Singapore,Southeast Asia,2020,31,6.377099991,1.519580126,1.39545691,1.137814283,0.635317206,0.218770906,0.533162236,Average Happiness
342,31,Brazil,Latin America and Caribbean,2020,32,6.375599861,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604,Average Happiness
343,32,Slovenia,Central and Eastern Europe,2020,33,6.363399982,1.208652496,1.464677691,0.932548046,0.646700144,0.145701498,0.076516323,Average Happiness
344,33,El Salvador,Latin America and Caribbean,2020,34,6.34829998,0.748940408,1.149397612,0.752730012,0.524043918,0.1189363,0.117030352,Average Happiness
345,34,Kosovo,Central and Eastern Europe,2020,35,6.325200081,0.840481341,1.183962822,0.672709167,0.557280421,0.325286865,0.008559024,Average Happiness
346,35,Panama,Latin America and Caribbean,2020,36,6.304800034,1.097667813,1.376149297,0.878546536,0.57984978,0.097207308,0.054230526,Average Happiness
347,36,Slovakia,Central and Eastern Europe,2020,37,6.280600071,1.194837689,1.424331188,0.853465259,0.423542529,0.116729774,0.011291441,Average Happiness
348,37,Uzbekistan,Commonwealth of Independent States,2020,38,6.257599831,0.696652949,1.434020042,0.716703713,0.693270326,0.363311023,0.280260265,Average Happiness
349,38,Chile,Latin America and Caribbean,2020,39,6.228499889,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,0.06284935,Average Happiness
350,39,Bahrain,Middle East and North Africa,2020,40,6.227300167,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.126697257,Average Happiness
351,40,Lithuania,Central and Eastern Europe,2020,41,6.215499878,1.193559647,1.432865739,0.795421183,0.42046079,0.053691041,0.081350274,Average Happiness
352,41,Trinidad and Tobago,Latin America and Caribbean,2020,42,6.191899776,1.167641521,1.407326221,0.658828557,0.55293113,0.199358255,0.015078396,Average Happiness
353,42,Poland,Central and Eastern Europe,2020,43,6.186299801,1.16922915,1.310399771,0.868038476,0.557903528,0.063374244,0.160541251,Average Happiness
354,43,Colombia,Latin America and Caribbean,2020,44,6.163400173,0.93220371,1.33445096,0.810020149,0.526890039,0.092374094,0.04584837,Average Happiness
355,44,Cyprus,Western Europe,2020,45,6.15899992,1.21279943,1.149170756,1.026124597,0.459385872,0.227932334,0.051207144,Average Happiness
356,45,Nicaragua,Latin America and Caribbean,2020,46,6.13710022,0.620033145,1.27081275,0.803093255,0.560117304,0.212871477,0.174084574,Average Happiness
357,46,Romania,Central and Eastern Europe,2020,47,6.123700142,1.120401621,1.1944381,0.79229486,0.534852326,0.068181619,0.000829569,Average Happiness
358,47,Kuwait,Middle East and North Africa,2020,48,6.102099895,1.424833655,1.244779825,0.776468933,0.570261419,0.132751092,0.112814933,Average Happiness
359,48,Mauritius,Sub-Saharan Africa,2020,49,6.101299763,1.07366395,1.395666838,0.763389409,0.590838134,0.186894551,0.084088229,Average Happiness
360,49,Kazakhstan,Commonwealth of Independent States,2020,50,6.057899952,1.122594237,1.453267694,0.698788941,0.497432142,0.153713793,0.110463686,Average Happiness
361,50,Estonia,Central and Eastern Europe,2020,51,6.021800041,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,0.201766819,Average Happiness
362,51,Philippines,Southeast Asia,2020,52,6.006000042,0.775120676,1.245381713,0.602189481,0.621915162,0.129260212,0.130385727,Average Happiness
363,52,Hungary,Central and Eastern Europe,2020,53,6.000400066,1.164307117,1.423009396,0.806793869,0.386401802,0.070491239,0.027548173,Average Happiness
364,53,Thailand,Southeast Asia,2020,54,5.998799801,1.007029295,1.347519517,0.793855846,0.609449804,0.376709014,0.031837862,Average Happiness
365,54,Argentina,Latin America and Caribbean,2020,55,5.974699974,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059,Average Happiness
366,55,Honduras,Latin America and Caribbean,2020,56,5.953199863,0.598763585,1.186664104,0.791989982,0.568148077,0.256528199,0.086807102,Average Happiness
367,56,Latvia,Central and Eastern Europe,2020,57,5.949999809,1.14139545,1.414398789,0.777902424,0.329198807,0.075407945,0.090391524,Average Happiness
368,57,Ecuador,Latin America and Caribbean,2020,58,5.925199986,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,0.086753383,Average Happiness
369,58,Portugal,Western Europe,2020,59,5.910900116,1.168800831,1.339530349,0.979315281,0.589895189,0.053036947,0.027733466,Average Happiness
370,59,Jamaica,Latin America and Caribbean,2020,60,5.889800072,0.779058397,1.408289194,0.788434088,0.553124607,0.116268493,0.030147785,Average Happiness
371,60,South Korea,East Asia,2020,61,5.872399807,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,0.094596282,Average Happiness
372,61,Japan,East Asia,2020,62,5.870800018,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178,0.181439638,Average Happiness
373,62,Peru,Latin America and Caribbean,2020,63,5.796800137,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,0.02703266,Average Happiness
374,63,Serbia,Central and Eastern Europe,2020,64,5.77820015,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289,0.059447147,Average Happiness
375,64,Bolivia,Latin America and Caribbean,2020,65,5.747499943,0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637,Average Happiness
376,65,Pakistan,South Asia,2020,66,5.69329977,0.616799474,0.872979581,0.469933242,0.405421734,0.228705063,0.122592121,Average Happiness
377,66,Paraguay,Latin America and Caribbean,2020,67,5.692100048,0.897990823,1.36819756,0.735869646,0.586510062,0.204299241,0.065077379,Average Happiness
378,67,Dominican Republic,Latin America and Caribbean,2020,68,5.689199924,0.983191848,1.328888893,0.741901696,0.5628739,0.112196781,0.115945682,Average Happiness
379,68,Bosnia and Herzegovina,Central and Eastern Europe,2020,69,5.674099922,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487,Average Happiness
380,69,Moldova,Commonwealth of Independent States,2020,70,5.607500076,0.707916796,1.237312198,0.713299453,0.389571488,0.174049184,0.014378744,Average Happiness
381,70,Tajikistan,Commonwealth of Independent States,2020,71,5.555699825,0.474874616,1.218377709,0.680594802,0.521141171,0.182417125,0.221779913,Average Happiness
382,71,Montenegro,Central and Eastern Europe,2020,72,5.54610014,1.010150075,1.265657902,0.839028895,0.303223848,0.14901033,0.098435111,Average Happiness
383,72,Russia,Commonwealth of Independent States,2020,73,5.546000004,1.126999617,1.378644109,0.68044591,0.399499595,0.099041916,0.045699362,Average Happiness
384,73,Kyrgyzstan,Commonwealth of Independent States,2020,74,5.541500092,0.513180971,1.341036677,0.680645883,0.614617765,0.30137074,0.030466691,Average Happiness
385,74,Belarus,Commonwealth of Independent States,2020,75,5.539899826,1.018854499,1.38713932,0.75258857,0.290755868,0.08993306,0.193607435,Average Happiness
386,75,North Cyprus,Western Europe,2020,76,5.53550005,1.21279943,1.183089137,1.026124597,0.477885723,0.199160054,0.199802905,Average Happiness
387,76,Greece,Western Europe,2020,77,5.514999866,1.128070116,1.168973565,0.979431748,0.173516348,0.0,0.048844352,Average Happiness
388,77,Hong Kong,East Asia,2020,78,5.510399818,1.376746058,1.243584275,1.136630654,0.459356517,0.288280904,0.332485437,Average Happiness
389,78,Croatia,Central and Eastern Europe,2020,79,5.504700184,1.109024286,1.311264873,0.900575578,0.381456882,0.113998979,0.012325006,Average Happiness
390,79,Libya,Middle East and North Africa,2020,80,5.488800049,1.021913767,1.196283698,0.615626633,0.451354057,0.142757699,0.172258079,Average Happiness
391,80,Mongolia,East Asia,2020,81,5.456200123,0.904872775,1.458930612,0.615788162,0.355703115,0.263885736,0.046533126,Average Happiness
392,81,Malaysia,Southeast Asia,2020,82,5.384300232,1.168421626,1.17400229,0.788511872,0.596941531,0.274886161,0.062163133,Average Happiness
393,82,Vietnam,Southeast Asia,2020,83,5.353499889,0.718092382,1.253074765,0.819133997,0.650835574,0.136488721,0.089848459,Average Happiness
394,83,Indonesia,Southeast Asia,2020,84,5.285600185,0.891720712,1.154800892,0.610437036,0.568161428,0.542646527,0.038278613,Average Happiness
395,84,Ivory Coast,Sub-Saharan Africa,2020,85,5.233300209,0.537094414,0.799727261,0.154942513,0.397122532,0.169915587,0.093495794,Average Happiness
396,85,Benin,Sub-Saharan Africa,2020,86,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874,Average Happiness
397,86,Maldives,South Asia,2020,87,5.197599888,0.937864304,1.402287602,0.914439559,0.548203647,0.224198252,0.071906492,Average Happiness
398,87,Republic of the Congo,Sub-Saharan Africa,2020,88,5.194399834,0.633616745,0.757636011,0.458101124,0.386514395,0.117216013,0.118670784,Average Happiness
399,88,Azerbaijan,Commonwealth of Independent States,2020,89,5.164800167,0.990272701,1.180613041,0.731134057,0.467734724,0.040113214,0.247307181,Average Happiness
400,89,Macedonia,Central and Eastern Europe,2020,90,5.159800053,0.935371995,1.183173537,0.802994132,0.410224587,0.18586354,0.024595059,Average Happiness
401,90,Ghana,Sub-Saharan Africa,2020,91,5.147999763,0.575862467,0.96636796,0.432162255,0.477290064,0.261291206,0.056570381,Average Happiness
402,91,Nepal,South Asia,2020,92,5.137199879,0.444050372,1.100789309,0.66887939,0.480608255,0.300971806,0.127502963,Average Happiness
403,92,Turkiye,Middle East and North Africa,2020,93,5.131800175,1.127169251,1.197159171,0.781335294,0.25440076,0.085885569,0.120983243,Average Happiness
404,93,China,East Asia,2020,94,5.123899937,0.990533412,1.132080674,0.867248535,0.601605117,0.079021044,0.117255554,Average Happiness
405,94,Turkmenistan,Commonwealth of Independent States,2020,95,5.119100094,1.008963585,1.510476947,0.612448037,0.515236676,0.323129326,0.03350389,Average Happiness
406,95,Bulgaria,Central and Eastern Europe,2020,96,5.101500034,1.046554685,1.460578918,0.777776897,0.417820066,0.103833713,0.0,Average Happiness
407,96,Morocco,Middle East and North Africa,2020,97,5.094799995,0.75862211,0.645208478,0.745096922,0.450054139,0.040032551,0.077385604,Average Happiness
408,97,Cameroon,Sub-Saharan Africa,2020,98,5.084899902,0.503958046,0.89972645,0.270189553,0.439242482,0.198020101,0.054393422,Average Happiness
409,98,Venezuela,Latin America and Caribbean,2020,99,5.053199768,0.770238638,1.348546863,0.76702553,0.271717221,0.087179154,0.063624777,Average Happiness
410,99,Algeria,Middle East and North Africa,2020,100,5.005099773,0.943856001,1.143003583,0.745418549,0.083943799,0.118915014,0.129190654,Average Happiness
411,100,Senegal,Sub-Saharan Africa,2020,101,4.980800152,0.504061818,0.95459342,0.518391907,0.352400899,0.164397135,0.081865937,Average Happiness
412,101,Guinea,Sub-Saharan Africa,2020,102,4.949299812,0.390007734,0.75136596,0.333655238,0.371878058,0.249490842,0.112204559,Average Happiness
413,102,Niger,Sub-Saharan Africa,2020,103,4.909599781,0.108330332,0.703800142,0.298816353,0.435311615,0.208176896,0.137554765,Average Happiness
414,103,Laos,Southeast Asia,2020,104,4.888599873,0.714693844,0.987391889,0.486378282,0.612027287,0.27266711,0.194273964,Average Happiness
415,104,Albania,Central and Eastern Europe,2020,105,4.882699966,0.906653047,0.830483913,0.846329629,0.461945891,0.171027765,0.025361285,Average Happiness
416,105,Cambodia,Southeast Asia,2020,106,4.848400116,0.544634938,1.071426034,0.587904334,0.674940348,0.233342081,0.072837502,Average Happiness
417,106,Bangladesh,South Asia,2020,107,4.832799911,0.556156278,0.868800581,0.694940507,0.604130566,0.176745117,0.176735908,Average Happiness
418,107,Gabon,Sub-Saharan Africa,2020,108,4.829299927,0.988044381,1.10639751,0.522574842,0.369459897,0.052013602,0.055804539,Average Happiness
419,108,South Africa,Sub-Saharan Africa,2020,109,4.814099789,0.902140439,1.259086251,0.407034069,0.43478182,0.126406848,0.05950214,Average Happiness
420,109,Iraq,Middle East and North Africa,2020,110,4.784800053,0.982018709,1.011466622,0.529350698,0.283588052,0.153002068,0.073164992,Average Happiness
421,110,Lebanon,Middle East and North Africa,2020,111,4.771500111,0.889232516,1.19249332,0.788671136,0.18551667,0.158524141,0.021518147,Average Happiness
422,111,Burkina Faso,Sub-Saharan Africa,2020,112,4.768700123,0.302467644,0.9293859,0.312833875,0.322398156,0.186390609,0.126408055,Average Happiness
423,112,Gambia,Sub-Saharan Africa,2020,113,4.750599861,0.256990552,0.882678688,0.353247881,0.403419524,0.425989687,0.158093795,Average Happiness
424,113,Mali,Sub-Saharan Africa,2020,114,4.729300022,0.352462649,0.97314173,0.234981522,0.377534449,0.16966705,0.062146276,Average Happiness
425,114,Nigeria,Sub-Saharan Africa,2020,115,4.724100113,0.645901859,0.986717939,0.167835936,0.435079455,0.221328124,0.047589935,Average Happiness
426,115,Armenia,Commonwealth of Independent States,2020,116,4.676799774,0.808262408,1.034576893,0.77585727,0.378075808,0.107225738,0.104618184,Average Happiness
427,116,Georgia,Commonwealth of Independent States,2020,117,4.672599792,0.847198069,0.7311939,0.694657624,0.485494107,0.047609735,0.174088076,Average Happiness
428,117,Iran,Middle East and North Africa,2020,118,4.672399998,1.029322505,0.886271179,0.749053836,0.301195472,0.27697894,0.142651513,Average Happiness
429,118,Jordan,Middle East and North Africa,2020,119,4.633399963,0.785179198,1.140118599,0.777624726,0.424855083,0.091494769,0.151878625,Average Happiness
430,119,Mozambique,Sub-Saharan Africa,2020,120,4.623600006,0.178741366,0.955202878,0.324223638,0.56077534,0.220422104,0.163064316,Average Happiness
431,120,Kenya,Sub-Saharan Africa,2020,121,4.583000183,0.476413399,0.905077755,0.536312759,0.519180536,0.393902093,0.067201078,Average Happiness
432,121,Namibia,Sub-Saharan Africa,2020,122,4.571100235,0.84008199,1.245738149,0.40687117,0.444598973,0.076454483,0.054320343,Average Happiness
433,122,Ukraine,Commonwealth of Independent States,2020,123,4.56069994,0.780434608,1.321316481,0.698674381,0.319423705,0.178551316,0.00965116,Average Happiness
434,123,Liberia,Sub-Saharan Africa,2020,124,4.557899952,0.174103007,0.920733929,0.392284274,0.405943096,0.226967871,0.051139876,Average Happiness
435,124,State of Palestine,Middle East and North Africa,2020,125,4.552800179,0.587819219,1.194755554,0.613826573,0.29870075,0.091816261,0.071913652,Average Happiness
436,125,Uganda,Sub-Saharan Africa,2020,126,4.43200016,0.312337428,1.052327394,0.378311664,0.401682556,0.264807373,0.063818842,Low Happiness
437,126,Chad,Sub-Saharan Africa,2020,127,4.422699928,0.302287489,0.739118278,0.1087441,0.228601769,0.210805088,0.085755408,Low Happiness
